epoch,is_checkpoint,steps,samples,trn_loss,val_loss,total_time,learn_rate
1.0,1,1,6,4.2533,4.7101,0.1,0.00043
2.0,1,2,12,3.9595,4.4662,0.1,0.00043
3.0,1,3,18,4.1596,4.4407,0.1,0.00043
4.0,0,4,24,4.1904,4.5564,0.1,0.00043
5.0,1,5,30,3.8178,4.4035,0.1,0.00043
6.0,0,6,36,4.1188,4.5543,0.1,0.00043
7.0,1,7,42,3.9316,4.3998,0.1,0.00043
8.0,0,8,48,4.1356,4.5932,0.1,0.00043
9.0,0,9,54,4.1001,4.5892,0.1,0.00043
10.0,0,10,60,4.0193,4.5859,0.1,0.00043
11.0,0,11,66,3.9334,4.5523,0.1,0.000215
12.0,1,12,72,3.9642,4.3938,0.1,0.000215
13.0,0,13,78,3.9694,4.6554,0.1,0.000215
14.0,0,14,84,4.1319,4.4149,0.1,0.000215
15.0,0,15,90,3.993,4.6501,0.1,0.000215
16.0,0,16,96,4.2059,4.5513,0.1,0.000107
17.0,0,17,102,3.9773,4.5509,0.1,0.000107
