epoch,is_checkpoint,steps,samples,trn_loss,total_time,learn_rate,val_loss
0.03,0,1,8,55.7677,0.2,0.0005,
1.0,1,30,240,54.9219,0.5,0.0005,56.8801
2.0,1,60,473,53.6563,0.8,0.0005,56.6665
3.0,1,90,706,52.8077,1.2,0.0005,56.6504
4.0,0,120,939,52.2534,1.5,0.0005,56.726
5.0,1,150,1172,51.4666,2.0,0.0005,56.4759
6.0,0,180,1405,50.9122,2.3,0.0005,56.9324
7.0,0,210,1638,50.198,2.6,0.0005,57.151
8.0,0,240,1871,49.7594,2.9,0.0005,57.0323
9.0,0,270,2104,49.0806,3.3,0.00025,57.591
10.0,0,300,2337,48.6627,3.6,0.00025,57.587
