epoch,is_checkpoint,steps,samples,trn_loss,total_time,learn_rate,val_loss
0.03,0,1,8,37.3435,0.1,0.0005,
1.0,1,30,240,36.8557,0.4,0.0005,37.318
2.0,1,60,473,36.1212,0.6,0.0005,37.3148
3.0,1,90,706,35.7082,0.8,0.0005,37.1624
4.0,1,120,939,35.3081,1.0,0.0005,37.0434
5.0,0,150,1172,35.1109,1.1,0.0005,37.1693
6.0,1,180,1405,34.8214,1.3,0.0005,37.0235
7.0,0,210,1638,34.7077,1.5,0.0005,37.1241
8.0,0,240,1871,34.3979,1.7,0.0005,37.2926
9.0,0,270,2104,34.0377,2.0,0.0005,37.1279
10.0,0,300,2337,33.9774,2.1,0.00025,37.4293
11.0,0,330,2570,34.0012,2.4,0.00025,37.0742
