epoch,is_checkpoint,steps,samples,trn_loss,val_loss,total_time,learn_rate
1.0,1,1,8,25.3796,28.5713,0.1,0.0005
2.0,0,2,14,23.6705,28.9614,0.1,0.0005
3.0,1,3,22,23.4196,28.1979,0.1,0.0005
4.0,0,4,28,25.3892,28.2841,0.1,0.0005
5.0,0,5,36,23.066,28.2804,0.1,0.0005
6.0,0,6,42,24.9772,28.2967,0.1,0.0005
7.0,1,7,50,24.6946,27.886,0.2,0.00025
8.0,1,8,56,23.7391,27.7947,0.2,0.00025
9.0,0,9,64,23.2572,28.327,0.2,0.00025
10.0,0,10,70,25.4048,27.8373,0.2,0.00025
11.0,1,11,78,24.1729,27.5654,0.2,0.00025
12.0,0,12,84,22.4272,28.2856,0.2,0.00025
13.0,0,13,92,23.7047,28.5944,0.2,0.00025
14.0,0,14,98,22.5346,28.17,0.3,0.00025
15.0,0,15,106,24.0146,28.1993,0.3,0.000125
16.0,0,16,112,22.05,28.1879,0.3,0.000125
