epoch,is_checkpoint,steps,samples,trn_loss,val_loss,total_time,learn_rate
1.0,1,1,8,24.7119,31.0805,0.1,0.0005
2.0,1,2,14,26.29,30.8759,0.1,0.0005
3.0,0,3,22,26.2202,31.2977,0.1,0.0005
4.0,1,4,28,25.2556,30.2029,0.1,0.0005
5.0,0,5,36,24.9848,30.6181,0.1,0.0005
6.0,0,6,42,24.2527,30.3865,0.1,0.0005
7.0,0,7,50,25.6431,30.6374,0.2,0.0005
8.0,0,8,56,23.6746,30.881,0.2,0.00025
9.0,1,9,64,24.9069,30.2005,0.2,0.00025
10.0,0,10,70,23.5797,30.9352,0.2,0.00025
11.0,0,11,78,24.6133,30.7238,0.2,0.000125
12.0,0,12,84,23.7571,30.6561,0.2,0.000125
13.0,0,13,92,23.907,30.9817,0.2,0.000125
14.0,0,14,98,25.2442,30.7674,0.3,6.3e-05
