transaction_id,account_id,transaction_date,transaction_type,amount,currency,description,channel,reference_no,status
TXN0000000001,HSP0000000096,2025-07-06,Maaş,22848.48,TRY,Prim ödemesi,Mobil,836BE4006299,Başarılı
TXN0000000002,HSP0000000028,2025-05-26,ATM Çekim,1000,USD,Nakit çekim,ATM,035FEAC33212,Başarılı
TXN0000000003,HSP0000000082,2025-11-17,Fatura,941.91,TRY,Telefon faturası,Internet,997EABC8B7F1,Başarılı
TXN0000000004,HSP0000000065,2025-04-25,Havale,13875.34,TRY,Hediye gönderimi,Internet,5208E367DD82,Başarılı
TXN0000000005,HSP0000000075,2025-06-30,ATM Çekim,5000,GBP,Günlük nakit ihtiyacı,Internet,308ECCD3B83C,Beklemede
TXN0000000006,HSP0000000023,2026-02-02,Maaş,54400.45,EUR,Prim ödemesi,Mobil,FF1E9BFF90DC,Başarılı
TXN0000000007,HSP0000000065,2026-03-21,Kredi Taksit,11673.25,TRY,İhtiyaç kredisi taksit,Internet,1790BBA7D397,Başarılı
TXN0000000008,HSP0000000051,2025-06-08,Yatırım,14248.91,TRY,Altın alım,Telefon,62F4AA5488DD,Başarılı
TXN0000000009,HSP0000000090,2026-01-09,POS Harcama,5068.01,TRY,Restoran harcaması,Mobil,9A2A461102A7,Başarılı
TXN0000000010,HSP0000000027,2026-03-11,POS Harcama,1078.72,TRY,Elektronik alışveriş,Mobil,DDDB9FE55B83,Başarılı
TXN0000000011,HSP0000000084,2026-02-21,Yatırım,32576.95,USD,Hisse alım,Mobil,C2075B9AA4D8,Başarılı
TXN0000000012,HSP0000000098,2026-03-08,Virman,17782.08,TRY,Yatırım hesabına,Internet,C622D2AC3D78,Başarılı
TXN0000000013,HSP0000000055,2025-06-14,Fatura,153.48,TRY,Elektrik faturası,Internet,BA6DFDB34615,Başarılı
TXN0000000014,HSP0000000026,2026-03-16,EFT,6338.97,EUR,Tedarikçi ödemesi,ATM,4FF02741B927,Başarısız
TXN0000000015,HSP0000000089,2025-10-01,Fatura,1637.35,TRY,Elektrik faturası,Mobil,0B4BB409E0FE,Başarılı
TXN0000000016,HSP0000000079,2026-02-26,Fatura,1144.48,TRY,Doğalgaz faturası,Şube,1FE61E0A825A,Başarılı
TXN0000000017,HSP0000000066,2026-03-07,Fatura,141.61,TRY,İnternet faturası,ATM,13BD350DB866,Başarılı
TXN0000000018,HSP0000000050,2026-01-08,ATM Çekim,100,TRY,Nakit çekim,ATM,84359A9AC4A8,Başarılı
TXN0000000019,HSP0000000096,2025-11-13,EFT,20766.59,TRY,Vergi ödemesi,Şube,0F8CE1520441,Başarılı
TXN0000000020,HSP0000000097,2025-07-09,POS Harcama,2367.54,TRY,Restoran harcaması,Şube,743BE0FD4D32,Başarılı
TXN0000000021,HSP0000000088,2025-06-01,Havale,9492.24,TRY,Hediye gönderimi,POS,A816B3AE9EC7,Başarılı
TXN0000000022,HSP0000000036,2025-08-09,POS Harcama,65.05,TRY,Akaryakıt,Mobil,E6B6535C12BF,Başarılı
TXN0000000023,HSP0000000091,2026-01-31,Kredi Taksit,1711.98,TRY,Taşıt kredisi taksit,Mobil,01B43F596708,Beklemede
TXN0000000024,HSP0000000079,2026-01-07,Fatura,748.27,TRY,Su faturası,Mobil,9BD608348AEC,Başarılı
TXN0000000025,HSP0000000068,2025-12-15,EFT,4068.33,TRY,Fatura ödemesi,Mobil,C614EC4A0277,Başarılı
TXN0000000026,HSP0000000069,2026-03-06,ATM Çekim,500,TRY,Hızlı para çekme,Mobil,031E1BF3F664,Başarılı
TXN0000000027,HSP0000000047,2025-11-30,Virman,24916.11,TRY,Hesaplar arası transfer,POS,99BFAAEA08B7,Başarılı
TXN0000000028,HSP0000000015,2026-02-09,POS Harcama,7350.49,TRY,Restoran harcaması,Internet,75B0F1BC6783,Beklemede
TXN0000000029,HSP0000000006,2025-05-29,Maaş,40081.94,TRY,İkramiye,Mobil,A1289E497678,Beklemede
TXN0000000030,HSP0000000093,2025-10-09,Virman,12906.3,TRY,Tasarruf hesabına,POS,FC6D3B1F1A78,Başarılı
TXN0000000031,HSP0000000063,2025-12-20,Havale,2150.4,TRY,Kira ödemesi,POS,413D8E2FBC89,Başarılı
TXN0000000032,HSP0000000022,2026-02-15,Yatırım,7014.45,TRY,Fon alım,ATM,377199B00B00,Başarılı
TXN0000000033,HSP0000000088,2026-03-26,ATM Çekim,5000,TRY,Hızlı para çekme,Mobil,97F16E150DD5,Başarılı
TXN0000000034,HSP0000000083,2025-04-13,Fatura,945.49,TRY,Su faturası,Mobil,BB6942BA4B2E,Başarılı
TXN0000000035,HSP0000000005,2026-01-11,Havale,1854.01,TRY,Aidat transferi,Mobil,E3F52DA128EE,Başarılı
TXN0000000036,HSP0000000034,2025-09-09,ATM Çekim,100,TRY,Hızlı para çekme,Internet,1A4FD1D1C1D8,Başarılı
TXN0000000037,HSP0000000087,2025-05-03,Havale,18923.42,TRY,Alışveriş ödemesi,Mobil,1A64386A9A75,Başarılı
TXN0000000038,HSP0000000006,2025-05-25,Maaş,33839.38,TRY,İkramiye,Mobil,5F65773ABBEA,Beklemede
TXN0000000039,HSP0000000039,2025-10-13,POS Harcama,3173.0,TRY,Elektronik alışveriş,Mobil,29BCA5DD64BD,Beklemede
TXN0000000040,HSP0000000004,2025-10-18,ATM Çekim,2000,TRY,Hızlı para çekme,Internet,B0F698D5C17B,Başarılı
TXN0000000041,HSP0000000082,2026-02-26,Havale,9390.95,TRY,Kira ödemesi,Şube,66B4F9A13034,Beklemede
TXN0000000042,HSP0000000071,2026-01-19,Fatura,1213.48,TRY,Telefon faturası,Mobil,9AE18F94EA53,Başarılı
TXN0000000043,HSP0000000071,2025-09-24,Kredi Taksit,3964.32,TRY,Taşıt kredisi taksit,Mobil,EE78599BE83F,Başarılı
TXN0000000044,HSP0000000066,2025-08-08,Havale,4938.72,TRY,Aidat transferi,Mobil,57A55C8355A8,Başarılı
TXN0000000045,HSP0000000086,2026-01-07,Fatura,949.47,USD,Telefon faturası,ATM,8EFE108765F6,Başarılı
TXN0000000046,HSP0000000010,2026-01-23,Virman,12231.04,TRY,Yatırım hesabına,Mobil,9733EA70DF9E,Başarılı
TXN0000000047,HSP0000000046,2026-02-12,Havale,1838.24,TRY,Aidat transferi,Şube,AC75AEDB6A87,Başarılı
TXN0000000048,HSP0000000041,2026-03-22,ATM Çekim,2000,EUR,Nakit çekim,Mobil,C9336DF4FD4F,Başarılı
TXN0000000049,HSP0000000073,2025-06-26,POS Harcama,58.56,EUR,Restoran harcaması,ATM,1A2E7E9AD662,İptal
TXN0000000050,HSP0000000029,2025-10-02,Maaş,23729.88,TRY,İkramiye,Şube,DF39F85D8E6B,Başarılı
TXN0000000051,HSP0000000043,2025-09-04,Fatura,999.59,TRY,Elektrik faturası,Internet,4AE6D8DF6056,Başarılı
TXN0000000052,HSP0000000023,2025-06-11,POS Harcama,7132.55,EUR,Restoran harcaması,Mobil,150E8CE30C1A,Başarılı
TXN0000000053,HSP0000000034,2025-04-10,Maaş,70223.17,TRY,İkramiye,Şube,08D103F3A721,Başarılı
TXN0000000054,HSP0000000004,2025-07-18,Fatura,1817.29,TRY,Telefon faturası,Internet,41AAE727BA91,Başarılı
TXN0000000055,HSP0000000034,2025-06-16,POS Harcama,2939.23,TRY,Restoran harcaması,Telefon,A3373D2DE7DE,Başarılı
TXN0000000056,HSP0000000099,2025-12-13,POS Harcama,4093.09,TRY,Akaryakıt,ATM,F46055D89D9A,Başarılı
TXN0000000057,HSP0000000047,2026-02-09,POS Harcama,5479.61,TRY,Giyim harcaması,Şube,178D032F52D7,Başarılı
TXN0000000058,HSP0000000018,2026-03-04,ATM Çekim,200,TRY,Günlük nakit ihtiyacı,Mobil,AF1A21E51AFC,İptal
TXN0000000059,HSP0000000094,2025-12-06,ATM Çekim,200,EUR,Nakit çekim,Internet,F34982E4DBE9,Başarılı
TXN0000000060,HSP0000000034,2025-10-02,Virman,9763.52,TRY,Tasarruf hesabına,Mobil,C8B7EDC6372E,Başarılı
TXN0000000061,HSP0000000006,2025-12-23,Havale,15875.82,TRY,Borç ödeme,Şube,0E25A13BB930,Başarılı
TXN0000000062,HSP0000000095,2026-03-01,EFT,9525.11,TRY,Fatura ödemesi,Internet,F8F26F6D0BEF,Başarılı
TXN0000000063,HSP0000000084,2025-07-24,Kredi Taksit,8229.2,USD,İhtiyaç kredisi taksit,Mobil,16F74F932978,Başarılı
TXN0000000064,HSP0000000045,2025-12-13,ATM Çekim,200,TRY,Hızlı para çekme,Internet,9E8D37528220,Başarılı
TXN0000000065,HSP0000000022,2025-06-16,EFT,4753.95,TRY,Vergi ödemesi,Internet,78B64ED6F499,Başarılı
