tc_id,suite,priority,type,automation_status,automation_ref,requirements,last_run,last_status,open_defects
TC-A11Y-001,a11y,P2,functional,automated,e2e/bdd/features/common/accessibility.feature:9,REQ-A11Y-001,,,
TC-AI-001,ai,P2,functional+integration,not-automated,,REQ-AI-001,,,
TC-API-001,api-tests,P1,functional,not-automated,,REQ-API-001,,,
TC-API-002,api-tests,P1,functional,not-automated,,REQ-API-001,,,
TC-API-003,api-tests,P1,functional+integration,not-automated,,REQ-API-001,,,
TC-API-004,api-tests,P2,functional,not-automated,,REQ-API-001,,,
TC-APR-001,approvals,P1,functional+smoke,automated,e2e/bdd/features/approvals/approval_queue.feature:10,REQ-APR-001,,,
TC-APR-002,approvals,P0,functional,automated,e2e/bdd/features/approvals/approval_queue.feature:14,REQ-APR-002,,,
TC-APR-003,approvals,P0,functional,automated,e2e/bdd/features/approvals/approval_queue.feature:22,REQ-APR-002,,,
TC-APR-004,approvals,P1,functional+api,not-automated,,REQ-APR-002,,,
TC-APR-005,approvals,P1,ui,not-automated,,REQ-APR-001,,,
TC-AUTH-001,auth,P0,functional+smoke,automated,e2e/bdd/features/auth/login.feature:6 | backend/tests/bdd/features/authentication.feature:11,REQ-AUTH-001,,,
TC-AUTH-002,auth,P0,functional+smoke,automated,e2e/bdd/features/auth/login.feature:13 | backend/tests/bdd/features/authentication.feature:22,REQ-AUTH-001,,,
TC-AUTH-003,auth,P0,functional,automated,backend/tests/bdd/features/authentication.feature:31,REQ-AUTH-001,,,
TC-AUTH-004,auth,P0,functional,automated,backend/tests/bdd/features/authentication.feature:39,REQ-AUTH-001,,,
TC-AUTH-005,auth,P0,functional+api,automated,backend/tests/bdd/features/authentication.feature:60,REQ-AUTH-002,,,
TC-AUTH-006,auth,P0,functional+api,automated,backend/tests/bdd/features/authentication.feature:69,REQ-AUTH-002,,,
TC-AUTH-007,auth,P1,functional+ui,automated,e2e/bdd/features/auth/login.feature:20 | backend/tests/bdd/features/authentication.feature:46,REQ-AUTH-001,,,
TC-AUTH-008,auth,P1,functional,not-automated,,REQ-AUTH-003,,,
TC-DSM-001,datasim,P2,functional,not-automated,,REQ-DSM-001,,,
TC-ENG-001,engine,P1,functional+integration,not-automated,,REQ-ENG-001,,,
TC-ENG-002,engine,P1,functional,not-automated,,REQ-ENG-001,,,
TC-EXC-001,executions,P0,functional,automated,e2e/bdd/features/executions/execution_management.feature:15,REQ-EXC-001,,,
TC-EXC-002,executions,P0,functional,not-automated,,REQ-EXC-002,,,
TC-EXC-003,executions,P1,functional,not-automated,,REQ-EXC-002,,,
TC-EXC-004,executions,P2,functional,not-automated,,REQ-EXC-003,,,
TC-EXC-005,executions,P2,functional,not-automated,,REQ-EXC-003,,,
TC-FLW-001,flows,P2,functional,automated,e2e/bdd/features/flows/flow_management.feature:14,REQ-FLW-001,,,
TC-FLW-002,flows,P2,functional,not-automated,,REQ-FLW-001,,,
TC-IMP-001,imports,P0,functional+smoke,automated,e2e/bdd/features/import/import_tests.feature:14,REQ-IMP-001,,,
TC-IMP-002,imports,P1,ui,automated,e2e/bdd/features/import/import_tests.feature:10,REQ-IMP-001,,,
TC-IMP-003,imports,P2,functional,automated,e2e/bdd/features/import/import_tests.feature:22,REQ-IMP-002,,,
TC-INF-001,infrastructure,P0,smoke,not-automated,,REQ-INF-001,,,
TC-INF-002,infrastructure,P0,smoke,not-automated,,REQ-INF-001,,,
TC-INF-003,infrastructure,P1,functional,not-automated,,REQ-INF-001,,,
TC-INT-001,integrations,P2,functional,not-automated,,REQ-INT-001,,,
TC-INT-002,integrations,P2,functional,not-automated,,REQ-INT-001,,,
TC-NTF-001,notifications,P2,functional,not-automated,,REQ-NTF-001,,,
TC-PRJ-001,projects,P0,functional+smoke,automated,e2e/bdd/features/projects/project_management.feature:9 | backend/tests/bdd/features/project_management.feature:10,REQ-PRJ-001,,,
TC-PRJ-002,projects,P1,functional+smoke,automated,e2e/bdd/features/projects/project_management.feature:17 | backend/tests/bdd/features/project_management.feature:35,REQ-PRJ-001,,,
TC-PRJ-003,projects,P1,functional+integration,automated,backend/tests/bdd/features/project_management.feature:48,REQ-PRJ-002,,,
TC-PRJ-004,projects,P1,functional+api,automated,backend/tests/bdd/features/project_management.feature:42,REQ-PRJ-001,,,
TC-PRJ-005,projects,P1,functional,not-automated,,REQ-PRJ-003,,,
TC-PRJ-006,projects,P3,functional,not-automated,,REQ-PRJ-003,,,
TC-QA-001,qa-engine,P2,functional+api,not-automated,,REQ-QA-001,,,
TC-QA-002,qa-engine,P2,functional,not-automated,,REQ-QA-001,,,
TC-QA-003,qa-engine,P3,functional,not-automated,,REQ-QA-001,,,
TC-REC-001,recorder,P2,functional,not-automated,,REQ-REC-001,,,
TC-REG-001,regression,P1,functional,automated,e2e/bdd/features/regression/regression_sets.feature:14,REQ-REG-001,,,
TC-REG-002,regression,P1,functional,not-automated,,REQ-REG-001,,,
TC-REG-003,regression,P2,functional+integration,automated,e2e/bdd/features/regression/regression_sets.feature:22,REQ-REG-002,,,
TC-REG-004,regression,P2,functional,not-automated,,REQ-REG-002,,,
TC-REQ-001,requirements,P1,functional,not-automated,,REQ-REQ-001,,,
TC-REQ-002,requirements,P1,functional,not-automated,,REQ-REQ-001,,,
TC-REQ-003,requirements,P1,functional,not-automated,,REQ-REQ-001,,,
TC-REQ-004,requirements,P2,functional,not-automated,,REQ-REQ-001,,,
TC-RUN-001,runs,P1,functional+integration,not-automated,,REQ-RUN-001,,,
TC-RUN-002,runs,P1,functional,not-automated,,REQ-RUN-001,,,
TC-SCH-001,schedules,P1,functional,not-automated,,REQ-SCH-001,,,
TC-SCH-002,schedules,P1,functional,not-automated,,REQ-SCH-002,,,
TC-SCH-003,schedules,P2,functional,not-automated,,REQ-SCH-002,,,
TC-SCN-001,scenarios,P0,functional+smoke,automated,e2e/bdd/features/scenarios/scenario_management.feature:10 | backend/tests/bdd/features/scenario_management.feature:11,REQ-SCN-001,,,
TC-SCN-002,scenarios,P0,functional,automated,backend/tests/bdd/features/scenario_management.feature:26,REQ-SCN-001 | REQ-SCN-002,,,
TC-SCN-003,scenarios,P1,functional,automated,e2e/bdd/features/scenarios/scenario_management.feature:17 | backend/tests/bdd/features/scenario_management.feature:35,REQ-SCN-001,,,
TC-SCN-004,scenarios,P1,functional,automated,backend/tests/bdd/features/scenario_management.feature:46,REQ-SCN-001,,,
TC-SCN-005,scenarios,P0,functional+integration,not-automated,,REQ-SCN-003,,,
TC-SCN-006,scenarios,P1,functional,not-automated,,REQ-SCN-003,,,
TC-SCN-007,scenarios,P1,functional,not-automated,,REQ-SCN-002,,,
TC-SCN-008,scenarios,P1,functional,automated,backend/tests/bdd/features/scenario_management.feature:69,REQ-SCN-002,,,
TC-SCN-009,scenarios,P1,functional,automated,backend/tests/bdd/features/scenario_management.feature:54,REQ-SCN-004,,,
TC-SYN-001,synthetic-data,P1,functional+api,not-automated,,REQ-SYN-001,,,
TC-SYN-002,synthetic-data,P1,functional,not-automated,,REQ-SYN-002,,,
TC-SYN-003,synthetic-data,P1,functional,not-automated,,REQ-SYN-003,,,
TC-SYN-004,synthetic-data,P2,functional,not-automated,,REQ-SYN-002,,,
TC-SYN-005,synthetic-data,P1,functional,not-automated,,REQ-SYN-004,,,
TC-SYN-006,synthetic-data,P1,functional,not-automated,,REQ-SYN-004,,,
TC-VIS-001,visual-regression,P2,functional,not-automated,,REQ-VIS-001,,,
